highest,monthYear,count
Community,2011-05-01,1116
Community,2011-06-01,338
Community,2011-07-01,56
Community,2011-08-01,46
Community,2011-09-01,52
Community,2011-10-01,137
Community,2011-11-01,133
Community,2011-12-01,73
Community,2012-01-01,142
Community,2012-02-01,76
Community,2012-03-01,73
Community,2012-04-01,67
Community,2012-05-01,1375
Community,2012-06-01,564
Community,2012-07-01,279
Community,2012-08-01,292
Community,2012-09-01,308
Community,2012-10-01,376
Community,2012-11-01,348
Community,2012-12-01,246
Community,2013-01-01,245
Community,2013-02-01,268
Community,2013-03-01,367
Community,2013-04-01,265
Community,2013-05-01,3417
Community,2013-06-01,1624
Community,2013-07-01,239
Community,2013-08-01,319
Community,2013-09-01,466
Community,2013-10-01,494
Community,2013-11-01,696
Community,2013-12-01,224
Community,2014-01-01,997
Community,2014-02-01,511
Community,2014-03-01,559
Community,2014-04-01,515
Community,2014-05-01,1159
Community,2014-06-01,491
Community,2014-07-01,379
Community,2014-08-01,1485
Community,2014-09-01,391
Community,2014-10-01,543
Community,2014-11-01,358
Community,2014-12-01,301
Community,2015-01-01,365
Community,2015-02-01,405
Community,2015-03-01,571
Community,2015-04-01,324
Community,2015-05-01,330
Community,2015-06-01,533
Community,2015-07-01,278
Community,2015-08-01,180
Community,2015-09-01,72
Education,2011-05-01,1724
Education,2011-06-01,463
Education,2011-07-01,100
Education,2011-08-01,69
Education,2011-09-01,97
Education,2011-10-01,248
Education,2011-11-01,225
Education,2011-12-01,138
Education,2012-01-01,226
Education,2012-02-01,154
Education,2012-03-01,134
Education,2012-04-01,96
Education,2012-05-01,2294
Education,2012-06-01,929
Education,2012-07-01,467
Education,2012-08-01,537
Education,2012-09-01,513
Education,2012-10-01,603
Education,2012-11-01,540
Education,2012-12-01,438
Education,2013-01-01,438
Education,2013-02-01,405
Education,2013-03-01,623
Education,2013-04-01,409
Education,2013-05-01,6026
Education,2013-06-01,2790
Education,2013-07-01,382
Education,2013-08-01,525
Education,2013-09-01,782
Education,2013-10-01,874
Education,2013-11-01,1162
Education,2013-12-01,391
Education,2014-01-01,2012
Education,2014-02-01,874
Education,2014-03-01,959
Education,2014-04-01,978
Education,2014-05-01,2213
Education,2014-06-01,1069
Education,2014-07-01,670
Education,2014-08-01,2820
Education,2014-09-01,731
Education,2014-10-01,937
Education,2014-11-01,631
Education,2014-12-01,546
Education,2015-01-01,731
Education,2015-02-01,790
Education,2015-03-01,1422
Education,2015-04-01,630
Education,2015-05-01,687
Education,2015-06-01,1141
Education,2015-07-01,493
Education,2015-08-01,354
Education,2015-09-01,164
Environment,2011-05-01,1541
Environment,2011-06-01,446
Environment,2011-07-01,81
Environment,2011-08-01,50
Environment,2011-09-01,79
Environment,2011-10-01,182
Environment,2011-11-01,175
Environment,2011-12-01,102
Environment,2012-01-01,187
Environment,2012-02-01,110
Environment,2012-03-01,107
Environment,2012-04-01,93
Environment,2012-05-01,1933
Environment,2012-06-01,763
Environment,2012-07-01,408
Environment,2012-08-01,406
Environment,2012-09-01,390
Environment,2012-10-01,458
Environment,2012-11-01,429
Environment,2012-12-01,333
Environment,2013-01-01,347
Environment,2013-02-01,328
Environment,2013-03-01,492
Environment,2013-04-01,354
Environment,2013-05-01,5187
Environment,2013-06-01,2366
Environment,2013-07-01,330
Environment,2013-08-01,457
Environment,2013-09-01,582
Environment,2013-10-01,627
Environment,2013-11-01,906
Environment,2013-12-01,290
Environment,2014-01-01,1551
Environment,2014-02-01,675
Environment,2014-03-01,768
Environment,2014-04-01,778
Environment,2014-05-01,1837
Environment,2014-06-01,748
Environment,2014-07-01,539
Environment,2014-08-01,2625
Environment,2014-09-01,520
Environment,2014-10-01,740
Environment,2014-11-01,489
Environment,2014-12-01,416
Environment,2015-01-01,555
Environment,2015-02-01,571
Environment,2015-03-01,942
Environment,2015-04-01,509
Environment,2015-05-01,507
Environment,2015-06-01,862
Environment,2015-07-01,392
Environment,2015-08-01,273
Environment,2015-09-01,102
Governance,2011-05-01,943
Governance,2011-06-01,265
Governance,2011-07-01,46
Governance,2011-08-01,36
Governance,2011-09-01,46
Governance,2011-10-01,108
Governance,2011-11-01,95
Governance,2011-12-01,49
Governance,2012-01-01,103
Governance,2012-02-01,61
Governance,2012-03-01,51
Governance,2012-04-01,52
Governance,2012-05-01,756
Governance,2012-06-01,352
Governance,2012-07-01,186
Governance,2012-08-01,211
Governance,2012-09-01,158
Governance,2012-10-01,220
Governance,2012-11-01,198
Governance,2012-12-01,151
Governance,2013-01-01,175
Governance,2013-02-01,174
Governance,2013-03-01,208
Governance,2013-04-01,176
Governance,2013-05-01,2504
Governance,2013-06-01,1249
Governance,2013-07-01,207
Governance,2013-08-01,244
Governance,2013-09-01,350
Governance,2013-10-01,338
Governance,2013-11-01,458
Governance,2013-12-01,154
Governance,2014-01-01,701
Governance,2014-02-01,322
Governance,2014-03-01,354
Governance,2014-04-01,338
Governance,2014-05-01,727
Governance,2014-06-01,356
Governance,2014-07-01,244
Governance,2014-08-01,688
Governance,2014-09-01,234
Governance,2014-10-01,345
Governance,2014-11-01,223
Governance,2014-12-01,193
Governance,2015-01-01,238
Governance,2015-02-01,309
Governance,2015-03-01,395
Governance,2015-04-01,235
Governance,2015-05-01,225
Governance,2015-06-01,334
Governance,2015-07-01,182
Governance,2015-08-01,154
Governance,2015-09-01,47
Health,2011-05-01,1779
Health,2011-06-01,475
Health,2011-07-01,94
Health,2011-08-01,60
Health,2011-09-01,89
Health,2011-10-01,254
Health,2011-11-01,240
Health,2011-12-01,136
Health,2012-01-01,258
Health,2012-02-01,145
Health,2012-03-01,145
Health,2012-04-01,115
Health,2012-05-01,2568
Health,2012-06-01,1059
Health,2012-07-01,481
Health,2012-08-01,582
Health,2012-09-01,557
Health,2012-10-01,697
Health,2012-11-01,596
Health,2012-12-01,496
Health,2013-01-01,488
Health,2013-02-01,485
Health,2013-03-01,772
Health,2013-04-01,470
Health,2013-05-01,6693
Health,2013-06-01,3206
Health,2013-07-01,451
Health,2013-08-01,594
Health,2013-09-01,941
Health,2013-10-01,971
Health,2013-11-01,1350
Health,2013-12-01,439
Health,2014-01-01,2425
Health,2014-02-01,1003
Health,2014-03-01,1134
Health,2014-04-01,1096
Health,2014-05-01,2594
Health,2014-06-01,1157
Health,2014-07-01,799
Health,2014-08-01,3421
Health,2014-09-01,858
Health,2014-10-01,1123
Health,2014-11-01,702
Health,2014-12-01,606
Health,2015-01-01,863
Health,2015-02-01,895
Health,2015-03-01,1433
Health,2015-04-01,735
Health,2015-05-01,754
Health,2015-06-01,1371
Health,2015-07-01,587
Health,2015-08-01,388
Health,2015-09-01,173
Housing,2011-05-01,1111
Housing,2011-06-01,290
Housing,2011-07-01,61
Housing,2011-08-01,37
Housing,2011-09-01,48
Housing,2011-10-01,148
Housing,2011-11-01,128
Housing,2011-12-01,79
Housing,2012-01-01,156
Housing,2012-02-01,87
Housing,2012-03-01,86
Housing,2012-04-01,75
Housing,2012-05-01,1357
Housing,2012-06-01,550
Housing,2012-07-01,295
Housing,2012-08-01,346
Housing,2012-09-01,318
Housing,2012-10-01,381
Housing,2012-11-01,376
Housing,2012-12-01,284
Housing,2013-01-01,296
Housing,2013-02-01,283
Housing,2013-03-01,403
Housing,2013-04-01,283
Housing,2013-05-01,4154
Housing,2013-06-01,2029
Housing,2013-07-01,270
Housing,2013-08-01,365
Housing,2013-09-01,536
Housing,2013-10-01,535
Housing,2013-11-01,815
Housing,2013-12-01,227
Housing,2014-01-01,1373
Housing,2014-02-01,585
Housing,2014-03-01,599
Housing,2014-04-01,634
Housing,2014-05-01,1193
Housing,2014-06-01,582
Housing,2014-07-01,397
Housing,2014-08-01,1513
Housing,2014-09-01,422
Housing,2014-10-01,596
Housing,2014-11-01,376
Housing,2014-12-01,314
Housing,2015-01-01,446
Housing,2015-02-01,512
Housing,2015-03-01,815
Housing,2015-04-01,404
Housing,2015-05-01,400
Housing,2015-06-01,709
Housing,2015-07-01,325
Housing,2015-08-01,244
Housing,2015-09-01,85
Income,2011-05-01,1022
Income,2011-06-01,293
Income,2011-07-01,64
Income,2011-08-01,34
Income,2011-09-01,51
Income,2011-10-01,127
Income,2011-11-01,112
Income,2011-12-01,60
Income,2012-01-01,134
Income,2012-02-01,72
Income,2012-03-01,66
Income,2012-04-01,63
Income,2012-05-01,1217
Income,2012-06-01,558
Income,2012-07-01,285
Income,2012-08-01,331
Income,2012-09-01,295
Income,2012-10-01,423
Income,2012-11-01,344
Income,2012-12-01,255
Income,2013-01-01,304
Income,2013-02-01,284
Income,2013-03-01,385
Income,2013-04-01,271
Income,2013-05-01,3893
Income,2013-06-01,2053
Income,2013-07-01,287
Income,2013-08-01,400
Income,2013-09-01,545
Income,2013-10-01,592
Income,2013-11-01,814
Income,2013-12-01,241
Income,2014-01-01,1408
Income,2014-02-01,586
Income,2014-03-01,613
Income,2014-04-01,716
Income,2014-05-01,1418
Income,2014-06-01,564
Income,2014-07-01,413
Income,2014-08-01,1762
Income,2014-09-01,470
Income,2014-10-01,640
Income,2014-11-01,391
Income,2014-12-01,335
Income,2015-01-01,466
Income,2015-02-01,511
Income,2015-03-01,836
Income,2015-04-01,415
Income,2015-05-01,386
Income,2015-06-01,708
Income,2015-07-01,325
Income,2015-08-01,243
Income,2015-09-01,104
Jobs,2011-05-01,1189
Jobs,2011-06-01,319
Jobs,2011-07-01,65
Jobs,2011-08-01,44
Jobs,2011-09-01,60
Jobs,2011-10-01,170
Jobs,2011-11-01,143
Jobs,2011-12-01,83
Jobs,2012-01-01,162
Jobs,2012-02-01,86
Jobs,2012-03-01,82
Jobs,2012-04-01,71
Jobs,2012-05-01,1426
Jobs,2012-06-01,619
Jobs,2012-07-01,316
Jobs,2012-08-01,332
Jobs,2012-09-01,333
Jobs,2012-10-01,426
Jobs,2012-11-01,369
Jobs,2012-12-01,286
Jobs,2013-01-01,304
Jobs,2013-02-01,303
Jobs,2013-03-01,416
Jobs,2013-04-01,287
Jobs,2013-05-01,4321
Jobs,2013-06-01,2276
Jobs,2013-07-01,315
Jobs,2013-08-01,403
Jobs,2013-09-01,570
Jobs,2013-10-01,632
Jobs,2013-11-01,891
Jobs,2013-12-01,244
Jobs,2014-01-01,1431
Jobs,2014-02-01,618
Jobs,2014-03-01,639
Jobs,2014-04-01,676
Jobs,2014-05-01,1431
Jobs,2014-06-01,607
Jobs,2014-07-01,453
Jobs,2014-08-01,1705
Jobs,2014-09-01,465
Jobs,2014-10-01,652
Jobs,2014-11-01,408
Jobs,2014-12-01,355
Jobs,2015-01-01,481
Jobs,2015-02-01,481
Jobs,2015-03-01,846
Jobs,2015-04-01,417
Jobs,2015-05-01,411
Jobs,2015-06-01,786
Jobs,2015-07-01,340
Jobs,2015-08-01,233
Jobs,2015-09-01,101
LifeSatisfaction,2011-05-01,1946
LifeSatisfaction,2011-06-01,542
LifeSatisfaction,2011-07-01,128
LifeSatisfaction,2011-08-01,72
LifeSatisfaction,2011-09-01,99
LifeSatisfaction,2011-10-01,244
LifeSatisfaction,2011-11-01,237
LifeSatisfaction,2011-12-01,162
LifeSatisfaction,2012-01-01,280
LifeSatisfaction,2012-02-01,153
LifeSatisfaction,2012-03-01,146
LifeSatisfaction,2012-04-01,120
LifeSatisfaction,2012-05-01,2555
LifeSatisfaction,2012-06-01,1101
LifeSatisfaction,2012-07-01,537
LifeSatisfaction,2012-08-01,586
LifeSatisfaction,2012-09-01,620
LifeSatisfaction,2012-10-01,717
LifeSatisfaction,2012-11-01,609
LifeSatisfaction,2012-12-01,485
LifeSatisfaction,2013-01-01,474
LifeSatisfaction,2013-02-01,508
LifeSatisfaction,2013-03-01,775
LifeSatisfaction,2013-04-01,529
LifeSatisfaction,2013-05-01,6781
LifeSatisfaction,2013-06-01,3069
LifeSatisfaction,2013-07-01,455
LifeSatisfaction,2013-08-01,570
LifeSatisfaction,2013-09-01,914
LifeSatisfaction,2013-10-01,957
LifeSatisfaction,2013-11-01,1320
LifeSatisfaction,2013-12-01,441
LifeSatisfaction,2014-01-01,2446
LifeSatisfaction,2014-02-01,991
LifeSatisfaction,2014-03-01,1116
LifeSatisfaction,2014-04-01,1187
LifeSatisfaction,2014-05-01,2922
LifeSatisfaction,2014-06-01,1097
LifeSatisfaction,2014-07-01,789
LifeSatisfaction,2014-08-01,4310
LifeSatisfaction,2014-09-01,831
LifeSatisfaction,2014-10-01,1085
LifeSatisfaction,2014-11-01,730
LifeSatisfaction,2014-12-01,620
LifeSatisfaction,2015-01-01,806
LifeSatisfaction,2015-02-01,858
LifeSatisfaction,2015-03-01,1474
LifeSatisfaction,2015-04-01,672
LifeSatisfaction,2015-05-01,747
LifeSatisfaction,2015-06-01,1297
LifeSatisfaction,2015-07-01,583
LifeSatisfaction,2015-08-01,382
LifeSatisfaction,2015-09-01,165
Safety,2011-05-01,1255
Safety,2011-06-01,369
Safety,2011-07-01,70
Safety,2011-08-01,53
Safety,2011-09-01,61
Safety,2011-10-01,179
Safety,2011-11-01,162
Safety,2011-12-01,91
Safety,2012-01-01,184
Safety,2012-02-01,93
Safety,2012-03-01,96
Safety,2012-04-01,78
Safety,2012-05-01,1608
Safety,2012-06-01,758
Safety,2012-07-01,332
Safety,2012-08-01,405
Safety,2012-09-01,383
Safety,2012-10-01,475
Safety,2012-11-01,420
Safety,2012-12-01,370
Safety,2013-01-01,324
Safety,2013-02-01,351
Safety,2013-03-01,548
Safety,2013-04-01,314
Safety,2013-05-01,5314
Safety,2013-06-01,2597
Safety,2013-07-01,349
Safety,2013-08-01,466
Safety,2013-09-01,692
Safety,2013-10-01,718
Safety,2013-11-01,990
Safety,2013-12-01,321
Safety,2014-01-01,1678
Safety,2014-02-01,758
Safety,2014-03-01,773
Safety,2014-04-01,832
Safety,2014-05-01,1935
Safety,2014-06-01,846
Safety,2014-07-01,555
Safety,2014-08-01,2573
Safety,2014-09-01,617
Safety,2014-10-01,841
Safety,2014-11-01,493
Safety,2014-12-01,407
Safety,2015-01-01,594
Safety,2015-02-01,684
Safety,2015-03-01,1130
Safety,2015-04-01,524
Safety,2015-05-01,513
Safety,2015-06-01,1040
Safety,2015-07-01,432
Safety,2015-08-01,302
Safety,2015-09-01,135
WorkLifeBalance,2011-05-01,1557
WorkLifeBalance,2011-06-01,427
WorkLifeBalance,2011-07-01,88
WorkLifeBalance,2011-08-01,55
WorkLifeBalance,2011-09-01,62
WorkLifeBalance,2011-10-01,188
WorkLifeBalance,2011-11-01,165
WorkLifeBalance,2011-12-01,111
WorkLifeBalance,2012-01-01,197
WorkLifeBalance,2012-02-01,123
WorkLifeBalance,2012-03-01,102
WorkLifeBalance,2012-04-01,98
WorkLifeBalance,2012-05-01,2055
WorkLifeBalance,2012-06-01,837
WorkLifeBalance,2012-07-01,409
WorkLifeBalance,2012-08-01,425
WorkLifeBalance,2012-09-01,410
WorkLifeBalance,2012-10-01,494
WorkLifeBalance,2012-11-01,473
WorkLifeBalance,2012-12-01,352
WorkLifeBalance,2013-01-01,348
WorkLifeBalance,2013-02-01,362
WorkLifeBalance,2013-03-01,519
WorkLifeBalance,2013-04-01,379
WorkLifeBalance,2013-05-01,5532
WorkLifeBalance,2013-06-01,2673
WorkLifeBalance,2013-07-01,368
WorkLifeBalance,2013-08-01,461
WorkLifeBalance,2013-09-01,661
WorkLifeBalance,2013-10-01,719
WorkLifeBalance,2013-11-01,985
WorkLifeBalance,2013-12-01,327
WorkLifeBalance,2014-01-01,1596
WorkLifeBalance,2014-02-01,755
WorkLifeBalance,2014-03-01,833
WorkLifeBalance,2014-04-01,826
WorkLifeBalance,2014-05-01,2072
WorkLifeBalance,2014-06-01,810
WorkLifeBalance,2014-07-01,583
WorkLifeBalance,2014-08-01,3126
WorkLifeBalance,2014-09-01,618
WorkLifeBalance,2014-10-01,789
WorkLifeBalance,2014-11-01,557
WorkLifeBalance,2014-12-01,431
WorkLifeBalance,2015-01-01,562
WorkLifeBalance,2015-02-01,601
WorkLifeBalance,2015-03-01,1084
WorkLifeBalance,2015-04-01,540
WorkLifeBalance,2015-05-01,522
WorkLifeBalance,2015-06-01,912
WorkLifeBalance,2015-07-01,420
WorkLifeBalance,2015-08-01,311
WorkLifeBalance,2015-09-01,119
